"ONTOLOGY","TERM","N","DE","P.DE","FDR"
"BP","microtubule-based process",1023,48,0.264031266071874,1
"BP","cell-cell adhesion",986,48,0.317956812502802,1
"BP","post-translational protein modification",991,47,0.241126993219914,1
"BP","cellular response to oxygen-containing compound",1253,47,0.864303522831454,1
"BP","embryo development",1159,46,0.91595658663397,1
"BP","positive regulation of gene expression",1256,46,0.78455337591411,1
"BP","import into cell",951,46,0.476582773874126,1
"BP","positive regulation of intracellular signal transduction",1182,46,0.840978952735516,1
"BP","cell activation",1144,45,0.657126773086511,1
"BP","DNA metabolic process",989,45,0.214415504523016,1
"BP","regulation of catabolic process",1135,45,0.624701330224226,1
"BP","hemopoiesis",997,45,0.394489128885345,1
"BP","negative regulation of programmed cell death",934,45,0.184122382956044,1
"BP","regulation of cellular component biogenesis",1065,45,0.796938264912692,1
"BP","positive regulation of cellular component organization",1153,45,0.911500524405237,1
"BP","export from cell",969,45,0.367153455076446,1
"BP","monoatomic cation transport",1058,44,0.658108004667517,1
"BP","response to abiotic stimulus",1165,44,0.868512612522963,1
"BP","actin filament-based process",827,44,0.412720738388009,1
"BP","regulation of locomotion",1171,44,0.876135383611109,1
"BP","negative regulation of apoptotic process",894,44,0.15200213621636,1
"BP","positive regulation of cell differentiation",911,44,0.394678526762726,1
"BP","secretion",1013,44,0.55902342648011,1
"BP","chemical homeostasis",1088,44,0.63245993374708,1
"BP","regulation of cell cycle",1103,44,0.652261897839281,1
"BP","positive regulation of immune system process",1150,43,0.676448210974593,1
"BP","organophosphate metabolic process",1074,43,0.622089540831462,1
"BP","regulation of anatomical structure morphogenesis",915,43,0.543850000873419,1
"BP","protein catabolic process",1119,43,0.760134382555856,1
"BP","protein modification by small protein conjugation or removal",931,43,0.30553221669321,1
"BP","cellular response to endogenous stimulus",1340,43,0.993583563286081,1
"BP","DNA damage response",928,42,0.332443590086944,1
"BP","monoatomic ion transmembrane transport",1028,42,0.736888131531853,1
"BP","multicellular organismal-level homeostasis",873,42,0.282250418915529,1
"BP","regulation of cell motility",1128,42,0.878887448389474,1
"BP","negative regulation of developmental process",1030,41,0.666321793245911,1
"BP","synaptic signaling",834,41,0.543011632798519,1
"BP","response to nitrogen compound",1102,41,0.864580792466095,1
"BP","mitotic cell cycle",923,40,0.524094012204532,1
"BP","positive regulation of cell population proliferation",957,40,0.519147675130546,1
"BP","sexual reproduction",1123,40,0.69024525439105,1
"BP","regulation of cell migration",1068,40,0.874339385914848,1
"BP","regulation of cell development",849,40,0.473884716512463,1
"BP","membrane organization",855,40,0.407714060444482,1
"BP","inorganic ion transmembrane transport",931,40,0.601599052749123,1
"BP","trans-synaptic signaling",803,40,0.511715171967443,1
"BP","response to peptide",1004,40,0.443864825612773,1
"BP","negative regulation of intracellular signal transduction",826,40,0.292463320305579,1
"BP","negative regulation of transcription by RNA polymerase II",989,39,0.801885887153551,1
"BP","MAPK cascade",795,39,0.286301589053165,1
"BP","developmental process involved in reproduction",1035,39,0.691749058439002,1
"BP","brain development",748,39,0.406717209975291,1
"BP","regulation of response to external stimulus",1179,39,0.884384077944262,1
"BP","secretion by cell",871,39,0.489464811398563,1
"BP","response to cytokine",991,39,0.471129817175486,1
"BP","tube morphogenesis",984,39,0.839645268088645,1
"BP","developmental growth",703,39,0.228260575061157,1
"BP","cell projection morphogenesis",688,39,0.443460411799459,1
"BP","positive regulation of transport",849,39,0.424221840424956,1
"BP","head development",798,39,0.576755937898338,1
"BP","RNA processing",1326,38,0.587653475991266,1
"BP","chemical synaptic transmission",795,38,0.612773104978448,1
"BP","actin cytoskeleton organization",723,38,0.477815087823588,1
"BP","leukocyte activation",988,38,0.68253089350771,1
"BP","neuron projection morphogenesis",667,38,0.426747599697341,1
"BP","synapse organization",584,38,0.0950146664333227,1
"BP","muscle structure development",727,38,0.266955884354851,1
"BP","organelle assembly",1084,38,0.923059348465001,1
"BP","anterograde trans-synaptic signaling",795,38,0.612773104978448,1
"BP","plasma membrane bounded cell projection morphogenesis",683,38,0.493830436993266,1
"BP","endocytosis",718,37,0.322259997925292,1
"BP","negative regulation of cell population proliferation",782,37,0.257231193112391,1
"BP","animal organ morphogenesis",1034,37,0.982198057963023,1
"BP","protein modification by small protein conjugation",842,37,0.4436789882876,1
"BP","proteolysis involved in protein catabolic process",871,37,0.490860882876767,1
"BP","supramolecular fiber organization",811,37,0.574946418156909,1
"BP","organic acid metabolic process",920,36,0.491055894331559,1
"BP","cellular homeostasis",846,36,0.546011724962099,1
"BP","carboxylic acid metabolic process",892,36,0.41371251438687,1
"BP","metal ion transport",880,36,0.762009350881487,1
"BP","oxoacid metabolic process",913,36,0.469725961347557,1
"BP","monoatomic cation transmembrane transport",870,36,0.696204989714363,1
"BP","vasculature development",860,35,0.712143764549414,1
"BP","chromatin organization",845,35,0.567896037505654,1
"BP","behavior",696,35,0.362693431660494,1
"BP","regulation of protein localization",932,35,0.903607808033301,1
"BP","multicellular organismal reproductive process",991,35,0.73393035583793,1
"BP","monoatomic ion homeostasis",623,35,0.0726136533999871,1
"BP","inorganic cation transmembrane transport",841,35,0.66740227048997,1
"BP","intracellular protein transport",668,34,0.172941322972228,1
"BP","enzyme-linked receptor protein signaling pathway",1087,34,0.994507164615016,1
"BP","G protein-coupled receptor signaling pathway",1240,34,0.807597901122397,1
"BP","mRNA metabolic process",846,34,0.35007687220259,1
"BP","protein ubiquitination",756,34,0.398704828533849,1
"BP","regulation of growth",616,34,0.192539969035171,1
"BP","cell morphogenesis involved in neuron differentiation",603,34,0.469365476088108,1
"BP","monoatomic cation homeostasis",612,34,0.0830624177968005,1
"BP","intracellular chemical homeostasis",735,34,0.366205270642049,1
"BP","defense response to other organism",1135,34,0.829120181718909,1
"BP","mitotic cell cycle process",779,34,0.534363212879672,1
"BP","phosphorylation",753,33,0.730713225314404,1
"BP","regulation of cell adhesion",823,33,0.82783368157137,1
"BP","innate immune response",1025,33,0.748642024703813,1
"BP","lymphocyte activation",816,33,0.596519832066345,1
"BP","regulation of immune response",1010,33,0.837055417133931,1
"BP","organelle localization",611,33,0.16347403178366,1
"BP","localization within membrane",714,33,0.535879132925819,1
"BP","cellular response to cytokine stimulus",898,33,0.630996223236684,1
"BP","defense response to symbiont",1118,33,0.843391697030787,1
"BP","blood vessel development",822,32,0.794809536858224,1
"BP","leukocyte differentiation",644,32,0.241297304334012,1
"BP","circulatory system process",645,32,0.324527024718426,1
"BP","ubiquitin-dependent protein catabolic process",705,32,0.407652624636856,1
"BP","heart development",631,32,0.438150955476797,1
