"Description","N","DE","P.DE","FDR"
"Antigen processing and presentation",67,3,0.414962939214743,1
"Toll-like receptor signaling pathway",100,3,0.719370088736086,1
"RIG-I-like receptor signaling pathway",68,3,0.427273045050778,1
"IL-17 signaling pathway",92,3,0.621254762007914,1
"Fc gamma R-mediated phagocytosis",92,3,0.866448989950918,1
"Glutamatergic synapse",116,3,0.962259208148546,1
"Cholinergic synapse",112,3,0.951054860251546,1
"Taste transduction",84,3,0.598736282230158,1
"GnRH signaling pathway",93,3,0.856067604106578,1
"Melanogenesis",101,3,0.89048338432033,1
"Thyroid hormone synthesis",75,3,0.708898962977659,1
"Glucagon signaling pathway",104,3,0.855979606851312,1
"AGE-RAGE signaling pathway in diabetic complications",100,3,0.871498657046629,1
"Aldosterone-regulated sodium reabsorption",37,3,0.29093876799646,1
"Gastric acid secretion",76,3,0.778839111067645,1
"Fat digestion and absorption",43,3,0.172584295883984,1
"Bile secretion",86,3,0.661646096369835,1
"Cocaine addiction",49,3,0.46499044900344,1
"Morphine addiction",91,3,0.893725392663304,1
"Pertussis",76,3,0.490217739468269,1
"Legionellosis",56,3,0.329115816011598,1
"Chagas disease",100,3,0.824237449943308,1
"Hepatitis C",151,3,0.955256313619249,1
"Influenza A",159,3,0.938016483406,1
"Renal cell carcinoma",68,3,0.686667776632501,1
"Basal cell carcinoma",63,3,0.600854768386578,1
"Choline metabolism in cancer",98,3,0.895445974692728,1
"Systemic lupus erythematosus",114,3,0.546819363248408,1
"Hypertrophic cardiomyopathy",99,3,0.893472246526309,1
"Dilated cardiomyopathy",104,3,0.926140173493627,1
"Pentose phosphate pathway",31,2,0.329837336436241,1
"Cysteine and methionine metabolism",51,2,0.592894074204752,1
"Starch and sucrose metabolism",32,2,0.362089484250536,1
"Mannose type O-glycan biosynthesis",23,2,0.280904741047038,1
"Linoleic acid metabolism",30,2,0.214777989658548,1
"alpha-Linolenic acid metabolism",26,2,0.235171006912546,1
"Propanoate metabolism",32,2,0.404988247479826,1
"Pantothenate and CoA biosynthesis",21,2,0.23787981242504,1
"Terpenoid backbone biosynthesis",23,2,0.196672145416093,1
"Nitrogen metabolism",17,2,0.125666527739946,1
"Fatty acid metabolism",56,2,0.74579632600847,1
"ABC transporters",45,2,0.656815353375787,1
"RNA degradation",76,2,0.812899531856466,1
"Basal transcription factors",41,2,0.441907923477781,1
"DNA replication",36,2,0.391829223010988,1
"Protein export",31,2,0.326805257100571,1
"Virion - Hepatitis viruses",48,2,0.550574033647303,1
"Virion - Lassa virus and SFTS virus",16,2,0.208643925393442,1
