"ENTREZID","SYMBOL","GENENAME"
"23024","PDZRN3","PDZ domain containing ring finger 3"
"23036","ZNF292","zinc finger protein 292"
"23040","MYT1L","myelin transcription factor 1 like"
"23081","KDM4C","lysine demethylase 4C"
"23093","TTLL5","tubulin tyrosine ligase like 5"
"23136","EPB41L3","erythrocyte membrane protein band 4.1 like 3"
"23150","FRMD4B","FERM domain containing 4B"
"23155","CLCC1","chloride channel CLIC like 1"
"23168","RTF1","RTF1 homolog, Paf1/RNA polymerase II complex component"
"23175","LPIN1","lipin 1"
"23199","GSE1","Gse1 coiled-coil protein"
"23228","PLCL2","phospholipase C like 2"
"23265","EXOC7","exocyst complex component 7"
"23325","WASHC4","WASH complex subunit 4"
"23327","NEDD4L","NEDD4 like E3 ubiquitin protein ligase"
"23332","CLASP1","cytoplasmic linker associated protein 1"
"23373","CRTC1","CREB regulated transcription coactivator 1"
"23389","MED13L","mediator complex subunit 13L"
"23394","ADNP","activity dependent neuroprotector homeobox"
"23432","GPR161","G protein-coupled receptor 161"
"23464","GCAT","glycine C-acetyltransferase"
"23492","CBX7","chromobox 7"
"23505","TMEM131","transmembrane protein 131"
"23506","BICRAL","BICRA like chromatin remodeling complex associated protein"
"23514","SPIDR","scaffold protein involved in DNA repair"
"23517","MTREX","Mtr4 exosome RNA helicase"
"23547","LILRA4","leukocyte immunoglobulin like receptor A4"
"2355","FOSL2","FOS like 2, AP-1 transcription factor subunit"
"23559","WBP1","WW domain binding protein 1"
"23562","CLDN14","claudin 14"
"23576","DDAH1","dimethylarginine dimethylaminohydrolase 1"
"23654","PLXNB2","plexin B2"
"23788","MTCH2","mitochondrial carrier 2"
"2534","FYN","FYN proto-oncogene, Src family tyrosine kinase"
"253559","CADM2","cell adhesion molecule 2"
"254102","EHBP1L1","EH domain binding protein 1 like 1"
"254773","LYG2","lysozyme g2"
"255426","RASGEF1C","RasGEF domain family member 1C"
"257019","FRMD3","FERM domain containing 3"
"257160","RNF214","ring finger protein 214"
"25776","CBY1","chibby 1, beta catenin antagonist"
"25833","POU2F3","POU class 2 homeobox 3"
"25849","PARM1","prostate androgen-regulated mucin-like protein 1"
"2585","GALK2","galactokinase 2"
"25862","USP49","ubiquitin specific peptidase 49"
"259230","SGMS1","sphingomyelin synthase 1"
"25960","ADGRA2","adhesion G protein-coupled receptor A2"
"25998","IBTK","inhibitor of Bruton tyrosine kinase"
"26020","LRP10","LDL receptor related protein 10"
"26031","OSBPL3","oxysterol binding protein like 3"
"26053","AUTS2","activator of transcription and developmental regulator AUTS2"
"26057","ANKRD17","ankyrin repeat domain 17"
"26074","CFAP61","cilia and flagella associated protein 61"
"26093","CCDC9","coiled-coil domain containing 9"
